url,living_meters,kitchen_meters,year_of_construction
https://balashikha.cian.ru/sale/flat/299137240/,19.0,10.0,2021
https://balashikha.cian.ru/sale/flat/301499588/,20.0,8.5,2006
https://balashikha.cian.ru/sale/flat/299922486/,6.0,0,1969
https://balashikha.cian.ru/sale/flat/299558649/,34.0,6.0,1970
https://balashikha.cian.ru/sale/flat/301792862/,15.3,10.0,2018
https://balashikha.cian.ru/sale/flat/298804357/,24.0,7.0,1900
https://balashikha.cian.ru/sale/flat/296345398/,28.0,6.0,1969
https://balashikha.cian.ru/sale/flat/296421451/,21.0,6.0,1972
https://balashikha.cian.ru/sale/flat/295854918/,13.9,9.9,2018
https://balashikha.cian.ru/sale/flat/299894925/,16.0,9.0,1984
https://balashikha.cian.ru/sale/flat/295662297/,28.0,6.0,1969
https://balashikha.cian.ru/sale/flat/295111113/,22.0,14.0,2006
https://balashikha.cian.ru/sale/flat/298629149/,30.0,6.0,1960
https://balashikha.cian.ru/sale/flat/300975690/,21.0,9.0,1985
https://balashikha.cian.ru/sale/flat/300002987/,18.0,9.0,2008
https://balashikha.cian.ru/sale/flat/292614139/,12.0,10.0,2022
https://balashikha.cian.ru/sale/flat/299652555/,20.0,9.0,2008
https://balashikha.cian.ru/sale/flat/297836849/,20.0,10.0,2015
https://balashikha.cian.ru/sale/flat/298971382/,27.5,7.0,1973
https://balashikha.cian.ru/sale/flat/298920721/,16.0,9.0,1994
https://balashikha.cian.ru/sale/flat/286590479/,41.0,6.0,1992
https://balashikha.cian.ru/sale/flat/300825192/,33.0,8.3,1958
https://balashikha.cian.ru/sale/flat/301599622/,19.0,9.1,2015
https://balashikha.cian.ru/sale/flat/292665045/,19.0,7.7,2003
https://balashikha.cian.ru/sale/flat/300113167/,21.0,6.0,1968
https://balashikha.cian.ru/sale/flat/299934745/,19.0,7.0,2006
https://balashikha.cian.ru/sale/flat/300197696/,35.0,6.0,1969
https://balashikha.cian.ru/sale/flat/301682718/,24.0,6.0,1976
